,STOCK_SYMBOL,STOCK CODE,SECTOR,SUBSECTOR,MKT,OPEN,LAST,CHG%,CHG,VOL,MKT CAP,BETA_5Y,INTERCEPT_5Y,R-SQUARED_5Y,P-VALUE_5Y,BETA STANDARD ERROR_5Y,SKEWNESS_5Y,PEARSON_KURTOSIS_5Y,FISHER_KURTOSIS_5Y,NORMALITY TEST_5Y,annualized_standard_deviation_of_equity_5Y,annualized_return_of_equity_5Y,SHARPE_RATIO_5Y,TREYNOR_RATIO_5Y
876,EUROSP,7094,CONSUMER PRODUCTS & SERVICES,HOUSEHOLD GOODS,MAIN,0.0,1.1,0.0,0.0,0.0,48864000.0,-0.08228921160537135,-8.67076447996968e-05,0.0004564220803006017,0.46023598670154575,0.11139776879286739,2.8181655570363033,44.10580375492122,41.10580375492122,not normal,1.6434504694931158,0.1099383834490284,0.0664357438682588,-1.3268307269125355
877,TIMWELL,7854,INDUSTRIAL PRODUCTS & SERVICES,WOOD & WOOD PRODUCTS,MAIN,0.57,0.54,-5.26,-0.03,60000.0,48087000.0,0.03649979476003846,-0.00022438978260605987,9.312873160299584e-05,0.7387283653123908,0.10940682178803376,7.228636863836752,151.45732025618202,148.45732025618202,not normal,2.276529807477299,0.04907028361036203,0.021223422796422028,1.3237267477910892
878,ENGKAH,7149,CONSUMER PRODUCTS & SERVICES,HOUSEHOLD GOODS,MAIN,0.0,0.405,0.0,0.0,0.0,47839000.0,-0.07847265835798012,-0.0009885009274993558,0.00040956643308170986,0.4842275040955887,0.11214586888197169,5.092354521866546,88.97360143602796,85.97360143602796,not normal,1.9264561149712365,-0.002024895894624623,-0.0014427657451621737,0.035419023012568225
879,RPLANET,03036,TECHNOLOGY,DIGITAL SERVICES,LEAP,0.0,0.3,0.0,0.0,0.0,47819000.0,-0.004242861606237376,-0.0007472589433516645,6.278361656605343e-05,0.7841948900926057,0.01548952554761549,-6.257782260335292,223.54899421724957,220.54899421724957,not normal,0.34128234723053547,0.002214335289284941,0.0042774151769554205,-0.3440617270016113
880,HWATAI,8478,CONSUMER PRODUCTS & SERVICES,FOOD& BEVERAGES,MAIN,0.625,0.625,0.0,0.0,114000.0,46771000.0,-0.18206612536990444,0.000920590917368498,0.0007631343604970822,0.33960759145993213,0.19058069979785644,13.005892283101938,274.2653470540627,271.2653470540627,not normal,3.719871834488829,0.17679277717103514,0.04732374017332551,-0.9668918246915151
881,SCC,0158,CONSUMER PRODUCTS & SERVICES,CONSUMER SERVICES,ACE,0.0,0.33,0.0,0.0,0.0,46583000.0,0.3534897842243221,-0.0005061803632646854,0.01676528423965665,6.9901947247584125e-06,0.0783097894450762,2.282797815589872,46.33724503467943,43.33724503467943,not normal,1.2359315461802618,-0.012024130679346046,-0.01033929404622248,-0.03615001125138847
882,ZELAN,2283,CONSTRUCTION,CONSTRUCTION,MAIN,0.055,0.055,10.0,0.005,0.0,46471000.0,1.406720743188601,0.0005796686127168892,0.043498300540897164,3.13343382752986e-13,0.19082297706361748,3.9353117566154037,55.42377604987276,52.42377604987276,not normal,2.4802718413562594,-0.09342046605542786,-0.03796962634609651,-0.06694647499089004
883,DFCITY,5165,INDUSTRIAL PRODUCTS & SERVICES,BUILDING MATERIALS,MAIN,0.0,0.44,0.0,0.0,0.0,46459000.0,-0.0017375519519741086,0.00012983331303765663,1.5381427948930024e-07,0.9891852071997873,0.12816088121093716,3.0802142992963177,51.154091272029135,48.154091272029135,not normal,1.4833742205087435,-0.004804033703481703,-0.0037472423507463925,3.199077123869854
884,PMHLDG,1287,CONSUMER PRODUCTS & SERVICES,"TRAVEL, LEISURE & HOSPITALITY",MAIN,0.0,0.05,0.0,0.0,0.0,46443000.0,1.0763391740077275,-2.870373270032157e-06,0.0355438083066805,4.8667451137102285e-11,0.1621901472503854,1.5730263144396042,29.510389033384108,26.510389033384108,not normal,2.4527429014484556,-0.18489027915773826,-0.07568865372955343,-0.17247798151219154
885,MTOUCHE,0092,TELECOMMUNICATIONS & MEDIA,TELECOMMUNICATIONS SERVICE PROVIDERS,ACE,0.05,0.05,-9.09,-0.005,1000.0,46336000.0,1.1904994171413663,-0.0018942924687403932,0.017492984291037714,4.404316175319532e-06,0.25809590351460815,2.922013764088697,122.03239324640874,119.03239324640874,not normal,4.91700100444777,-0.34645098742052016,-0.0706132693696956,-0.29164694364306876
