,STOCK SYMBOL,STOCK CODE,SECTOR,SUBSECTOR,MKT,OPEN,LAST,CHG%,CHG,VOL,MKT CAP,BETA_5Y,INTERCEPT_5Y,R-SQUARED_5Y,P-VALUE_5Y,BETA STANDARD ERROR_5Y,NORMALITY TEST_5Y,annualized_standard_deviation_of_equity_5Y,annualized_excess_return_of_equity_5Y
571,ROHAS,9741,INDUSTRIAL PRODUCTS & SERVICES,INDUSTRIAL ENGINEERING,MAIN,0.295,0.305,1.67,0.005,496000.0,144161000.0,7.109262734699073,0.24648444051180757,0.4736233874575432,1.5349210732845188e-158,0.2237483589665535,normal,1.516487154023645,-0.015124023245683293
572,MMIS,03027,INDUSTRIAL PRODUCTS & SERVICES,"INDUSTRIAL MATERIALS, COMPONENTS & EQUIPMENT",LEAP,0.0,0.24,0.0,0.0,0.0,144000000.0,0.053617406484109946,-0.03750807116349104,0.0005890939052532334,0.4162552363054476,0.0659309224304411,normal,1.1246457143698705,0.05507460774731143
573,REXIT,0106,TECHNOLOGY,SOFTWARE,ACE,0.76,0.76,0.0,0.0,15000.0,143893000.0,0.011613754361628235,-0.0396078957758897,2.7963252695975073e-05,0.8594368950791789,0.06556563804327382,normal,0.9380059967929133,0.02496694768025698
574,ADVCON,5281,CONSTRUCTION,CONSTRUCTION,MAIN,0.29,0.29,-1.69,-0.005,150000.0,142899000.0,3.9259577654015696,0.11756433821888895,0.3246957411688579,9.322271794426723e-98,0.16902877458217083,normal,0.9327867054843892,-0.011640585326014197
575,PPHB,8273,INDUSTRIAL PRODUCTS & SERVICES,PACKAGING MATERIALS,MAIN,0.52,0.53,0.0,0.0,20000.0,140660000.0,0.7967228321516016,-0.007986569662180205,0.05806554164365054,2.596779257263769e-16,0.09579921189886542,normal,1.34095144553584,0.014030021507622337
576,SYF,7082,CONSUMER PRODUCTS & SERVICES,HOUSEHOLD GOODS,MAIN,0.245,0.245,0.0,0.0,108000.0,140657000.0,1.0597277475393048,0.0025803311158317244,0.09123637834375864,3.8368041661622142e-25,0.09984798973130683,normal,1.7711898694468413,0.056431835702920985
577,TIENWAH,7374,INDUSTRIAL PRODUCTS & SERVICES,INDUSTRIAL SERVICES,MAIN,0.0,0.96,0.0,0.0,0.0,138953000.0,0.6001901090352127,-0.01590929038025389,0.08278909432613538,7.226147636729359e-23,0.05964038588347761,normal,1.0306985265584816,0.020462343738129718
578,HIGHTEC,7033,INDUSTRIAL PRODUCTS & SERVICES,INDUSTRIAL ENGINEERING,MAIN,0.965,1.14,18.13,0.175,2967000.0,138893000.0,-1.5643740527597598,-0.10108680428821422,0.0828770604657197,6.844052647743521e-23,0.15536056225153766,normal,3.4832482031227303,0.19033712001161973
579,TWRREIT,5111,REAL ESTATE INVESTMENT TRUSTS,REAL ESTATE INVESTMENT TRUSTS,MAIN,0.495,0.495,1.02,0.005,2000.0,138847000.0,2.3760441990061443,0.05552488381151191,0.4658722792683554,5.6387491734206735e-155,0.0759533984978772,normal,0.6024651014297826,-0.005952609766844308
580,VERSATL,4995,INDUSTRIAL PRODUCTS & SERVICES,PACKAGING MATERIALS,MAIN,0.5,0.495,-4.81,-0.025,212000.0,138649000.0,1.0064649210077323,0.0007924891081234064,0.06299107257969415,1.3178623684308282e-17,0.11588696174340983,normal,1.3425104902024279,-0.02937578504251981
581,YEWLEE,0248,INDUSTRIAL PRODUCTS & SERVICES,"INDUSTRIAL MATERIALS, COMPONENTS & EQUIPMENT",ACE,0.26,0.26,0.0,0.0,6102000.0,138433000.0,-0.03301189845085408,-0.041272414351027145,0.0021965137256735002,0.11632624031941816,0.02100533536801747,normal,0.5916824537137119,0.0022742378605506985
582,AURORA,03037,CONSUMER PRODUCTS & SERVICES,PERSONAL GOODS,LEAP,0.0,0.22,0.0,0.0,0.0,137731000.0,-0.056456873316125714,-0.041687751402849825,0.00021237897902675712,0.6255031463771035,0.11564277571001702,normal,3.210723976967467,0.011163649276489274
